env_id,H,W,density,planner,method,perturbation,kmax,kendall_tau,jaccard_topk,cose_jaccard,calls_base,time_base,calls_pert,time_pert
1,20,20,0.3,a_star,shap,jitter,5,1.0,0.6666666666666666,,1100,3.5869906120060477,350,0.5702166370028863
1,20,20,0.3,a_star,lime,jitter,5,0.2,0.42857142857142855,,500,2.237458545001573,250,0.48729179699876113
1,20,20,0.3,a_star,rand,jitter,5,-0.2,0.42857142857142855,,0,0.00016831899847602472,0,0.00018745499983197078
1,20,20,0.3,a_star,geodesic,jitter,5,-0.2,0.42857142857142855,,0,0.00032008499692892656,0,0.0002941740021924488
1,20,20,0.3,a_star,cose,jitter,,,,0.0,3,0.013021582999499515,1,0.0019487949975882657
1,20,20,0.3,a_star,shap,dilate,5,-1.0,0.4,,1100,3.5869906120060477,150,0.1555079960016883
1,20,20,0.3,a_star,lime,dilate,5,-1.0,0.4,,500,2.237458545001573,250,0.3039591080014361
1,20,20,0.3,a_star,rand,dilate,5,1.0,0.0,,0,0.00016831899847602472,0,0.00012403899745550007
1,20,20,0.3,a_star,geodesic,dilate,5,1.0,0.16666666666666666,,0,0.00032008499692892656,0,0.00025855500280158594
1,20,20,0.3,a_star,cose,dilate,,,,0.0,3,0.013021582999499515,8,0.010372135999205057
1,20,20,0.3,a_star,shap,erode,5,1.0,0.6666666666666666,,1100,3.5869906120060477,350,0.22717887900216738
1,20,20,0.3,a_star,lime,erode,5,-0.06666666666666667,0.25,,500,2.237458545001573,250,0.1607158900005743
1,20,20,0.3,a_star,rand,erode,5,0.06666666666666667,0.25,,0,0.00016831899847602472,0,0.00018633800209499896
1,20,20,0.3,a_star,geodesic,erode,5,-0.3333333333333333,0.42857142857142855,,0,0.00032008499692892656,0,0.0002895639991038479
1,20,20,0.3,a_star,cose,erode,,,,0.0,3,0.013021582999499515,1,0.0006667799971182831
1,20,20,0.3,a_star,shap,distractors,5,0.6,0.6666666666666666,,1100,3.5869906120060477,650,2.235114025999792
1,20,20,0.3,a_star,lime,distractors,5,-0.022222222222222223,0.25,,500,2.237458545001573,250,1.04378934000124
1,20,20,0.3,a_star,rand,distractors,5,-0.3333333333333333,0.1111111111111111,,0,0.00016831899847602472,0,0.0001942999952007085
1,20,20,0.3,a_star,geodesic,distractors,5,-0.022222222222222223,0.1111111111111111,,0,0.00032008499692892656,0,0.0003209930000593886
1,20,20,0.3,a_star,cose,distractors,,,,0.1,3,0.013021582999499515,21,0.16202297899872065
2,20,20,0.3,a_star,shap,jitter,5,1.0,1.0,,800,0.5956904539998504,350,0.7584362260022317
2,20,20,0.3,a_star,lime,jitter,5,-0.7333333333333333,0.42857142857142855,,500,0.32616467800107785,250,0.7127448149985867
2,20,20,0.3,a_star,rand,jitter,5,-0.4666666666666667,0.42857142857142855,,0,0.0002193730033468455,0,0.00012613499711733311
2,20,20,0.3,a_star,geodesic,jitter,5,0.2,0.42857142857142855,,0,0.00034096800663974136,0,0.00027797000075224787
2,20,20,0.3,a_star,cose,jitter,,,,0.0,3,0.008145508996676654,1,0.003816226002527401
2,20,20,0.3,a_star,shap,dilate,5,-0.3333333333333333,0.6,,800,0.5956904539998504,200,0.25096678599948063
2,20,20,0.3,a_star,lime,dilate,5,-0.3333333333333333,0.6,,500,0.32616467800107785,250,0.280212338999263
2,20,20,0.3,a_star,rand,dilate,5,1.0,0.6,,0,0.0002193730033468455,0,0.00012774000060744584
2,20,20,0.3,a_star,geodesic,dilate,5,0.3333333333333333,0.3333333333333333,,0,0.00034096800663974136,0,0.00026099900424014777
2,20,20,0.3,a_star,cose,dilate,,,,0.5,3,0.008145508996676654,9,0.024214709002990276
2,20,20,0.3,a_star,shap,erode,5,1.0,1.0,,800,0.5956904539998504,400,0.28443713799788384
2,20,20,0.3,a_star,lime,erode,5,-0.3333333333333333,0.42857142857142855,,500,0.32616467800107785,250,0.18236984900431708
