env_id,H,W,density,planner_A,planner_B,method,kmax,transfer_success_at_k,transfer_auc_s_at_k,overlap_topk,kendall_tau,calls_A,time_A,calls_B,time_B
1,20,20,0.3,a_star,dijkstra,shap,5,"{1: 1, 2: 1, 3: 1, 4: 1, 5: 1}",1.0,1.0,1.0,1100,3.5222711009992054,1100,5.069238700001733
1,20,20,0.3,a_star,dijkstra,lime,5,"{1: 1, 2: 1, 3: 1, 4: 1, 5: 1}",1.0,0.25,0.24444444444444444,500,2.16818140399846,500,2.0878310699990834
1,20,20,0.3,a_star,dijkstra,geodesic,5,"{1: 0, 2: 0, 3: 1, 4: 1, 5: 1}",0.6,1.0,1.0,0,0.00031771000067237765,0,0.0002663059931364842
1,20,20,0.3,a_star,dijkstra,rand,5,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0}",0.0,0.25,-0.37777777777777777,0,0.00015867999900365248,0,5.8458004787098616e-05
1,20,20,0.3,dijkstra,a_star,shap,5,"{1: 1, 2: 1, 3: 1, 4: 1, 5: 1}",1.0,1.0,1.0,1100,4.992549542002962,1100,3.4957555229993886
1,20,20,0.3,dijkstra,a_star,lime,5,"{1: 1, 2: 1, 3: 1, 4: 1, 5: 1}",1.0,0.6666666666666666,0.15555555555555556,500,2.0752872040029615,500,1.9882472820027033
1,20,20,0.3,dijkstra,a_star,geodesic,5,"{1: 0, 2: 0, 3: 1, 4: 1, 5: 1}",0.6,1.0,1.0,0,0.00029752599948551506,0,0.00027531700470717624
1,20,20,0.3,dijkstra,a_star,rand,5,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 1}",0.2,0.6666666666666666,0.24444444444444444,0,0.0001259950004168786,0,5.524500011233613e-05
2,20,20,0.3,a_star,dijkstra,shap,5,"{1: 1, 2: 1, 3: 1, 4: 1, 5: 1}",1.0,1.0,1.0,800,0.5351261070027249,800,2.0564737079985207
2,20,20,0.3,a_star,dijkstra,lime,5,"{1: 1, 2: 1, 3: 1, 4: 1, 5: 1}",1.0,0.6666666666666666,0.23809523809523808,500,0.34515159799775574,500,0.6483464350021677
2,20,20,0.3,a_star,dijkstra,geodesic,5,"{1: 1, 2: 1, 3: 1, 4: 1, 5: 1}",1.0,1.0,1.0,0,0.0002864909984054975,0,0.00025331600045319647
2,20,20,0.3,a_star,dijkstra,rand,5,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0}",0.0,0.6666666666666666,-0.23809523809523808,0,0.00012445799802662805,0,5.4406002163887024e-05
2,20,20,0.3,dijkstra,a_star,shap,5,"{1: 1, 2: 1, 3: 1, 4: 1, 5: 1}",1.0,1.0,1.0,800,2.0927396210026927,800,0.5891337209977792
2,20,20,0.3,dijkstra,a_star,lime,5,"{1: 1, 2: 1, 3: 1, 4: 1, 5: 1}",1.0,0.42857142857142855,0.3333333333333333,500,0.7235597649996635,500,0.292939546998241
2,20,20,0.3,dijkstra,a_star,geodesic,5,"{1: 1, 2: 1, 3: 1, 4: 1, 5: 1}",1.0,1.0,1.0,0,0.0002920780025306158,0,0.000251919002039358
2,20,20,0.3,dijkstra,a_star,rand,5,"{1: 0, 2: 0, 3: 1, 4: 1, 5: 1}",0.6,0.42857142857142855,-0.5238095238095238,0,0.00012906799383927137,0,5.433699698187411e-05
3,20,20,0.3,a_star,dijkstra,shap,5,"{1: 1, 2: 1, 3: 1, 4: 1, 5: 1}",1.0,1.0,1.0,700,0.46016329899430275,700,1.716860426000494
3,20,20,0.3,a_star,dijkstra,lime,5,"{1: 1, 2: 1, 3: 1, 4: 1, 5: 1}",1.0,0.6666666666666666,0.4666666666666667,500,0.2554384819959523,500,0.5594380370021099
3,20,20,0.3,a_star,dijkstra,geodesic,5,"{1: 1, 2: 1, 3: 1, 4: 1, 5: 1}",1.0,1.0,1.0,0,0.00028264999855309725,0,0.00025338699924759567
3,20,20,0.3,a_star,dijkstra,rand,5,"{1: 0, 2: 1, 3: 1, 4: 1, 5: 1}",0.8,1.0,0.06666666666666667,0,0.00015867999900365248,0,5.349900311557576e-05
3,20,20,0.3,dijkstra,a_star,shap,5,"{1: 1, 2: 1, 3: 1, 4: 1, 5: 1}",1.0,1.0,1.0,700,1.6803539780012215,700,0.4411166029967717
3,20,20,0.3,dijkstra,a_star,lime,5,"{1: 1, 2: 1, 3: 1, 4: 1, 5: 1}",1.0,0.6666666666666666,0.4666666666666667,500,0.6848342339944793,500,0.23872366399882594
3,20,20,0.3,dijkstra,a_star,geodesic,5,"{1: 1, 2: 1, 3: 1, 4: 1, 5: 1}",1.0,1.0,1.0,0,0.0002809040015563369,0,0.00025708800239954144
3,20,20,0.3,dijkstra,a_star,rand,5,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 1}",0.2,0.6666666666666666,-0.2,0,0.00012368999887257814,0,6.530199607368559e-05
4,20,20,0.3,a_star,dijkstra,shap,5,"{1: 1, 2: 1, 3: 1, 4: 1, 5: 1}",1.0,1.0,1.0,700,0.37261981800111244,700,1.740274468997086
4,20,20,0.3,a_star,dijkstra,lime,5,"{1: 1, 2: 1, 3: 1, 4: 1, 5: 1}",1.0,0.6666666666666666,0.3333333333333333,500,0.24656710700219264,500,0.6400356799931615
4,20,20,0.3,a_star,dijkstra,geodesic,5,"{1: 1, 2: 1, 3: 1, 4: 1, 5: 1}",1.0,1.0,1.0,0,0.0002895639991038479,0,0.0002513610015739687
4,20,20,0.3,a_star,dijkstra,rand,5,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 1}",0.2,0.6666666666666666,-0.6,0,0.00013053400471108034,0,5.6780998420435935e-05
4,20,20,0.3,dijkstra,a_star,shap,5,"{1: 1, 2: 1, 3: 1, 4: 1, 5: 1}",1.0,1.0,1.0,700,1.89339758099959,700,0.41401190900069196
4,20,20,0.3,dijkstra,a_star,lime,5,"{1: 1, 2: 1, 3: 1, 4: 1, 5: 1}",1.0,1.0,0.8666666666666667,500,0.615407855999365,500,0.24797225399379386
4,20,20,0.3,dijkstra,a_star,geodesic,5,"{1: 1, 2: 1, 3: 1, 4: 1, 5: 1}",1.0,1.0,1.0,0,0.00027964699984295294,0,0.00025715700030559674
4,20,20,0.3,dijkstra,a_star,rand,5,"{1: 1, 2: 1, 3: 1, 4: 1, 5: 1}",1.0,0.6666666666666666,0.3333333333333333,0,0.00012822900316677988,0,5.335899913916364e-05
