Explanation,Planner,Obstacles_Removed,Obstacles_Removed_Percentage,Obstacle_Removal_Efficiency,Path_Length,Optimal_Path_Length,Path_Optimality,Success,Explanation_Time_s
Anchors,A*,4.371,0.2914,0.7086,14.108,11.12,0.8540093417335411,1.0,1.0299237694740295
Anchors,Dijkstra,4.371,0.2914,0.7086,14.108,11.12,0.8540093417335411,1.0,1.5436137280464173
LIME,A*,1.009,0.0672666666666666,0.9327333333333332,12.0,11.12,0.94195589464355,1.0,0.0125236012935638
LIME,Dijkstra,1.009,0.0672666666666666,0.9327333333333332,12.0,11.12,0.94195589464355,1.0,0.0158953781127929
SHAP,A*,1.046,0.0697333333333333,0.9302666666666668,14.142,11.12,0.8468575850418808,1.0,0.1003140940666198
SHAP,Dijkstra,1.046,0.0697333333333333,0.9302666666666668,14.142,11.12,0.8468575850418808,1.0,0.1061951265335083
Anchors,BFS,4.371,0.2914,0.7086,14.108,11.12,0.8540093417335411,1.0,2.1808323237895966
Anchors,Theta*,2.931,0.19540000000000002,0.8046,4.354,2.0,0.581278687978688,1.0,3.0110488061904905
LIME,BFS,1.009,0.06726666666666667,0.9327333333333333,12.0,11.12,0.9419558946435501,1.0,0.02286867833137512
LIME,Theta*,1.0,0.06666666666666667,0.9333333333333333,3.016,2.0,0.7559921356421356,1.0,0.04163702869415283
SHAP,BFS,1.046,0.06973333333333333,0.9302666666666667,14.142,11.12,0.8468575850418808,1.0,0.12566752195358277
SHAP,Theta*,1.016,0.06773333333333334,0.9322666666666667,3.576,2.0,0.690139849039849,1.0,0.17668044447898865
