env_id,H,W,density,planner,connectivity,ilp_status,ilp_obj,ilp_time_sec,cose_size,cose_time_sec,gap,shap_calls,cose_calls
1,20,20,0.2,a_star,8,Optimal,1.0,0.7879371279850602,1,0.004348525311797857,0,560,3
2,20,20,0.2,a_star,8,Optimal,1.0,0.7518039830029011,1,0.0017100358381867409,0,480,3
3,20,20,0.2,a_star,8,Optimal,1.0,0.7161983121186495,1,0.014224125072360039,0,400,3
4,20,20,0.2,a_star,8,Optimal,1.0,0.7642652997747064,1,0.005687111988663673,0,560,3
5,20,20,0.2,a_star,8,Optimal,1.0,0.7467425842769444,1,0.014437987003475428,0,400,3
6,20,20,0.2,a_star,8,Optimal,1.0,0.736462902277708,1,0.006134617142379284,0,480,3
7,20,20,0.2,a_star,8,Optimal,1.0,0.7557774069719017,1,0.0020692949183285236,0,560,3
8,20,20,0.2,a_star,8,Optimal,1.0,0.7592755779623985,1,0.0028908569365739822,0,400,3
9,20,20,0.2,a_star,8,Optimal,1.0,0.7616517189890146,1,0.016367201693356037,0,400,3
10,20,20,0.2,a_star,8,Optimal,1.0,0.7779423459433019,1,0.00542464479804039,0,320,3
11,20,20,0.2,a_star,8,Optimal,1.0,0.7681884970515966,1,0.007810304872691631,0,480,3
12,20,20,0.2,a_star,8,Optimal,1.0,0.7150156749412417,1,0.0051164282485842705,0,400,3
13,20,20,0.2,a_star,8,Optimal,1.0,0.7465912234038115,1,0.016429490875452757,0,480,3
