env_id,H,W,density,planner,method,perturbation,kmax,kendall_tau,jaccard_topk,cose_jaccard,calls_base,time_base,calls_pert,time_pert
1,30,30,0.2,a_star,shap,jitter,5,0.696969696969697,0.6666666666666666,,1300,10.279197681229562,650,1.5987697672098875
1,30,30,0.2,a_star,lime,jitter,5,0.2727272727272727,0.42857142857142855,,500,5.486174595076591,250,0.7546388511545956
1,30,30,0.2,a_star,rand,jitter,5,-0.15151515151515152,0.25,,0,0.00012404704466462135,0,0.000105246901512146
1,30,30,0.2,a_star,geodesic,jitter,5,0.42424242424242425,0.6666666666666666,,0,0.0005840701051056385,0,0.0005616899579763412
1,30,30,0.2,a_star,cose,jitter,,,,0.0,3,0.03391884034499526,1,0.003086595330387354
1,30,30,0.2,a_star,shap,dilate,5,0.4666666666666667,0.6666666666666666,,1300,10.279197681229562,350,1.3530284906737506
1,30,30,0.2,a_star,lime,dilate,5,0.4666666666666667,0.1111111111111111,,500,5.486174595076591,250,0.8408467038534582
1,30,30,0.2,a_star,rand,dilate,5,0.3333333333333333,0.42857142857142855,,0,0.00012404704466462135,0,0.00010651303455233574
1,30,30,0.2,a_star,geodesic,dilate,5,-0.6,0.25,,0,0.0005840701051056385,0,0.0005441699177026749
1,30,30,0.2,a_star,cose,dilate,,,,0.0,3,0.03391884034499526,15,0.08744787098839879
1,30,30,0.2,a_star,shap,erode,5,1.0,0.6666666666666666,,1300,10.279197681229562,450,1.0525713749229908
1,30,30,0.2,a_star,lime,erode,5,0.5,0.42857142857142855,,500,5.486174595076591,250,0.7786887562833726
1,30,30,0.2,a_star,rand,erode,5,0.14285714285714285,0.42857142857142855,,0,0.00012404704466462135,0,9.440816938877106e-05
1,30,30,0.2,a_star,geodesic,erode,5,-0.42857142857142855,0.1111111111111111,,0,0.0005840701051056385,0,0.0005182246677577496
1,30,30,0.2,a_star,cose,erode,,,,0.0,3,0.03391884034499526,1,0.003938362933695316
1,30,30,0.2,a_star,shap,distractors,5,0.696969696969697,0.6666666666666666,,1300,10.279197681229562,700,6.624746793881059
1,30,30,0.2,a_star,lime,distractors,5,-0.15151515151515152,0.1111111111111111,,500,5.486174595076591,250,2.7046813550405204
1,30,30,0.2,a_star,rand,distractors,5,0.18181818181818182,0.42857142857142855,,0,0.00012404704466462135,0,0.00010950583964586258
1,30,30,0.2,a_star,geodesic,distractors,5,0.12121212121212122,0.25,,0,0.0005840701051056385,0,0.000573114026337862
1,30,30,0.2,a_star,cose,distractors,,,,0.08333333333333333,3,0.03391884034499526,25,0.44988037878647447
1,30,30,0.2,dijkstra,shap,jitter,5,0.3090909090909091,0.6666666666666666,,1300,17.1196037880145,600,4.54294661199674
1,30,30,0.2,dijkstra,lime,jitter,5,-0.2727272727272727,0.25,,500,6.306089863181114,250,1.1031611203216016
1,30,30,0.2,dijkstra,rand,jitter,5,-0.01818181818181818,0.1111111111111111,,0,0.0001397351734340191,0,0.00011409120634198189
1,30,30,0.2,dijkstra,geodesic,jitter,5,-0.16363636363636364,0.25,,0,0.0006254850886762142,0,0.0005968441255390644
1,30,30,0.2,dijkstra,cose,jitter,,,,0.0,3,0.05922908801585436,25,0.31494728615507483
1,30,30,0.2,dijkstra,shap,dilate,5,0.6,0.6666666666666666,,1300,17.1196037880145,350,2.4951807926408947
1,30,30,0.2,dijkstra,lime,dilate,5,0.06666666666666667,0.25,,500,6.306089863181114,250,0.92257514083758
1,30,30,0.2,dijkstra,rand,dilate,5,-0.2,0.1111111111111111,,0,0.0001397351734340191,0,0.00012528011575341225
1,30,30,0.2,dijkstra,geodesic,dilate,5,-0.6,0.25,,0,0.0006254850886762142,0,0.0006354218348860741
1,30,30,0.2,dijkstra,cose,dilate,,,,0.0,3,0.05922908801585436,15,0.1557996948249638
1,30,30,0.2,dijkstra,shap,erode,5,1.0,0.6666666666666666,,1300,17.1196037880145,450,6.527192677836865
1,30,30,0.2,dijkstra,lime,erode,5,0.21428571428571427,0.42857142857142855,,500,6.306089863181114,250,3.649511197116226
1,30,30,0.2,dijkstra,rand,erode,5,-0.14285714285714285,0.1111111111111111,,0,0.0001397351734340191,0,0.0001212339848279953
1,30,30,0.2,dijkstra,geodesic,erode,5,-0.42857142857142855,0.1111111111111111,,0,0.0006254850886762142,0,0.0005784658715128899
1,30,30,0.2,dijkstra,cose,erode,,,,0.0,3,0.05922908801585436,1,0.014324557036161423
1,30,30,0.2,dijkstra,shap,distractors,5,0.36363636363636365,0.6666666666666666,,1300,17.1196037880145,700,9.2156165339984
1,30,30,0.2,dijkstra,lime,distractors,5,0.06060606060606061,0.25,,500,6.306089863181114,250,3.1501325382851064
1,30,30,0.2,dijkstra,rand,distractors,5,0.15151515151515152,0.25,,0,0.0001397351734340191,0,0.000141811091452837
1,30,30,0.2,dijkstra,geodesic,distractors,5,0.3333333333333333,0.42857142857142855,,0,0.0006254850886762142,0,0.0005757259204983711
1,30,30,0.2,dijkstra,cose,distractors,,,,0.0,3,0.05922908801585436,26,0.36724030086770654
1,30,30,0.2,bfs,shap,jitter,5,1.0,1.0,,1300,13.724404528737068,650,6.928746985737234
1,30,30,0.2,bfs,lime,jitter,5,0.24242424242424243,0.42857142857142855,,500,5.028054320253432,250,2.6606935700401664
1,30,30,0.2,bfs,rand,jitter,5,-0.12121212121212122,0.1111111111111111,,0,0.00022545503452420235,0,0.00012336205691099167
1,30,30,0.2,bfs,geodesic,jitter,5,0.36363636363636365,0.6666666666666666,,0,0.0006811171770095825,0,0.0006729653105139732
1,30,30,0.2,bfs,cose,jitter,,,,1.0,3,0.048345996998250484,3,0.0509647112339735
1,30,30,0.2,bfs,shap,dilate,5,0.6,0.6666666666666666,,1300,13.724404528737068,350,1.8520807577297091
1,30,30,0.2,bfs,lime,dilate,5,0.3333333333333333,0.1111111111111111,,500,5.028054320253432,250,0.6559821330010891
