Explanation,Planner,Num_Perturbations,Perturbation_Type,Explanation_Stability,Faithfulness_Score,Planner_Robustness,Path_Length,Explanation_Time_s
Anchors,A*,10,move,0.1488,0.2914,0.9992,0.0,2.2572328338623047
Anchors,A*,10,remove,0.1491655969191271,0.3217800599058622,0.9989730423620026,0.0,2.298174040308353
Anchors,A*,25,move,0.1520999999999999,0.2914,0.9992,0.0,2.2572328338623047
Anchors,A*,50,move,0.1549,0.2914,0.9992,0.0,2.2572328338623047
Anchors,A*,75,move,0.1529,0.2914,0.9992,0.0,2.2572328338623047
Anchors,A*,100,move,0.1575,0.2914,0.9992,0.0,2.2572328338623047
Anchors,A*,200,move,0.1588,0.2914,0.9992,0.0,2.2572328338623047
Anchors,Dijkstra,10,move,0.1572,0.2914,0.9992,0.0,3.347496288776397
Anchors,Dijkstra,10,remove,0.1457433290978399,0.318847945785684,0.9989834815756036,0.0,3.219709151278912
Anchors,Dijkstra,25,move,0.1598,0.2914,0.9992,0.0,3.347496288776397
Anchors,Dijkstra,50,move,0.1538,0.2914,0.9992,0.0,3.347496288776397
Anchors,Dijkstra,75,move,0.149,0.2914,0.9992,0.0,3.347496288776397
Anchors,Dijkstra,100,move,0.1561,0.2914,0.9992,0.0,3.347496288776397
Anchors,Dijkstra,200,move,0.1462,0.2914,0.9992,0.0,3.347496288776397
LIME,A*,10,move,0.5694,0.0672666666666666,1.0,0.0,0.0120196216106414
LIME,A*,10,remove,0.4437735849056604,0.0672536687631027,1.0,0.0,0.0120008111749804
LIME,A*,25,move,0.4368,0.0672666666666666,1.0,0.0,0.0120196216106414
LIME,A*,50,move,0.4579,0.0672666666666666,1.0,0.0,0.0120196216106414
LIME,A*,75,move,0.4418418418418418,0.0672672672672672,1.0,0.0,0.0120226441918908
LIME,A*,100,move,0.4486,0.0672666666666666,1.0,0.0,0.0120196216106414
LIME,A*,200,move,0.4443999999999999,0.0672666666666666,1.0,0.0,0.0120196216106414
LIME,Dijkstra,10,move,0.5478,0.0672666666666666,1.0,0.0,0.0153303160667419
LIME,Dijkstra,10,remove,0.4596226415094339,0.0672536687631027,1.0,0.0,0.0149129213776978
LIME,Dijkstra,25,move,0.4478,0.0672666666666666,1.0,0.0,0.0153303160667419
LIME,Dijkstra,50,move,0.4399399399399399,0.0672672672672672,1.0,0.0,0.0153396516232877
LIME,Dijkstra,75,move,0.4403,0.0672666666666666,1.0,0.0,0.0153303160667419
LIME,Dijkstra,100,move,0.4448,0.0672666666666666,1.0,0.0,0.0153303160667419
LIME,Dijkstra,200,move,0.4510510510510511,0.0672672672672672,1.0,0.0,0.0153396516232877
SHAP,A*,10,move,0.5456,0.0697333333333333,1.0,0.0,0.1385576250553131
SHAP,A*,10,remove,0.5690355329949238,0.0697969543147208,1.0,0.0,0.1393666990517359
SHAP,A*,25,move,0.4412,0.0697333333333333,1.0,0.0,0.1385576250553131
SHAP,A*,50,move,0.4518,0.0697333333333333,1.0,0.0,0.1385576250553131
SHAP,A*,75,move,0.4425,0.0697333333333333,1.0,0.0,0.1385576250553131
SHAP,A*,100,move,0.442,0.0697333333333333,1.0,0.0,0.1385576250553131
SHAP,A*,200,move,0.4463999999999999,0.0697333333333333,1.0,0.0,0.1385576250553131
SHAP,Dijkstra,10,move,0.5492999999999999,0.0697333333333333,1.0,0.0,0.1588139770030975
SHAP,Dijkstra,10,remove,0.5611464968152866,0.0701486199575371,1.0,0.0,0.1558907104905244
SHAP,Dijkstra,25,move,0.4471,0.0697333333333333,1.0,0.0,0.1588139770030975
SHAP,Dijkstra,50,move,0.4353,0.0697333333333333,1.0,0.0,0.1588139770030975
SHAP,Dijkstra,75,move,0.4395,0.0697333333333333,1.0,0.0,0.1588139770030975
SHAP,Dijkstra,100,move,0.448,0.0697333333333333,1.0,0.0,0.1588139770030975
SHAP,Dijkstra,200,move,0.4393,0.0697333333333333,1.0,0.0,0.1588139770030975
Anchors,BFS,10,move,0.1571,0.2914,0.9992000000000001,0.0,3.6864803924560547
Anchors,BFS,10,remove,0.13954372623574146,0.3170257710181664,0.9989860583016477,0.0,3.5486794019682173
Anchors,BFS,25,move,0.15180000000000002,0.2914,0.9992000000000001,0.0,3.6864803924560547
Anchors,BFS,50,move,0.14620000000000002,0.2914,0.9992000000000001,0.0,3.6864803924560547
Anchors,BFS,75,move,0.14759999999999998,0.2914,0.9992000000000001,0.0,3.6864803924560547
Anchors,BFS,100,move,0.14814814814814814,0.29115782449115785,0.9991991991991992,0.0,3.6886605299986877
Anchors,BFS,200,move,0.1601,0.2914,0.9992000000000001,0.0,3.6864803924560547
Anchors,Theta*,10,move,0.15255255255255257,0.19552886219552887,0.9991991991991992,2.3233233233233235,5.0864456671255605
Anchors,Theta*,10,remove,0.12587719298245614,0.31286549707602335,1.0,0.0,7.149233529442235
Anchors,Theta*,25,move,0.1474,0.19540000000000002,0.9992000000000001,2.323,5.082613567352295
Anchors,Theta*,50,move,0.14794794794794797,0.19552886219552887,0.9991991991991992,2.3233233233233235,5.0867310868607865
Anchors,Theta*,75,move,0.1484,0.19540000000000002,0.9992000000000001,2.323,5.082613567352295
Anchors,Theta*,100,move,0.15185185185185188,0.19552886219552887,0.9991991991991992,2.3233233233233235,5.0864456671255605
Anchors,Theta*,200,move,0.15360721442885772,0.19565798263193052,0.9991983967935872,2.323647294589178,5.090571152184435
LIME,BFS,10,move,0.5568,0.06726666666666667,0.5816999999999992,0.0,0.019429671287536622
LIME,BFS,10,remove,0.4468869123252859,0.06734434561626429,0.6007623888182954,0.0,0.01864501269678603
LIME,BFS,25,move,0.43403403403403407,0.06726726726726727,0.5822822822822815,0.0,0.01943911016882361
LIME,BFS,50,move,0.4437,0.06726666666666667,0.5816999999999992,0.0,0.019429671287536622
LIME,BFS,75,move,0.4437,0.06726666666666667,0.5816999999999992,0.0,0.019429671287536622
LIME,BFS,100,move,0.45530000000000004,0.06726666666666667,0.5816999999999992,0.0,0.019429671287536622
LIME,BFS,200,move,0.4472,0.06726666666666667,0.5816999999999992,0.0,0.019429671287536622
LIME,Theta*,10,move,0.4409227683049148,0.06666666666666667,0.582748244734202,2.3229689067201607,0.038905226000572515
LIME,Theta*,10,remove,0.47811816192560175,0.06666666666666667,0.7131291028446379,0.0,0.05137718480316763
LIME,Theta*,25,move,0.3321,0.06666666666666667,0.5816999999999992,2.323,0.03881056523323059
LIME,Theta*,50,move,0.3434,0.06666666666666667,0.5816999999999992,2.323,0.03881056523323059
LIME,Theta*,75,move,0.3389,0.06666666666666667,0.5816999999999992,2.323,0.03881056523323059
LIME,Theta*,100,move,0.34094094094094096,0.06666666666666667,0.5820820820820815,2.3233233233233235,0.03884441143757588
LIME,Theta*,200,move,0.34364364364364364,0.06666666666666667,0.5817817817817811,2.319319319319319,0.038836401146095434
SHAP,BFS,10,move,0.5364,0.06973333333333333,0.6290000000000004,0.0,0.16570273208618164
SHAP,BFS,10,remove,0.5588832487309644,0.06988155668358713,0.6618020304568516,0.0,0.16161138847999768
SHAP,BFS,25,move,0.43689999999999996,0.06973333333333333,0.6290000000000004,0.0,0.16570273208618164
SHAP,BFS,50,move,0.44489999999999996,0.06973333333333333,0.6290000000000004,0.0,0.16570273208618164
SHAP,BFS,75,move,0.4394394394394394,0.06973640306973641,0.6294294294294299,0.0,0.1657948319737737
SHAP,BFS,100,move,0.43253253253253254,0.06973640306973641,0.6294294294294299,0.0,0.1657948319737737
SHAP,BFS,200,move,0.44980000000000003,0.06973333333333333,0.6290000000000004,0.0,0.16570273208618164
SHAP,Theta*,10,move,0.46810431293881644,0.06773654296222,0.6294884653961892,2.3229689067201607,0.22117049643842723
SHAP,Theta*,10,remove,0.6254901960784314,0.06870007262164124,0.7601307189542476,0.0,0.27553620265719675
SHAP,Theta*,25,move,0.3572572572572572,0.0677344010677344,0.6294294294294299,2.3233233233233235,0.22094430508198323
SHAP,Theta*,50,move,0.361961961961962,0.0677344010677344,0.6294294294294299,2.3233233233233235,0.22094430508198323
SHAP,Theta*,75,move,0.37139999999999995,0.06773333333333334,0.6290000000000004,2.323,0.22083649373054504
SHAP,Theta*,100,move,0.36526526526526526,0.0677344010677344,0.6294294294294299,2.3233233233233235,0.22094430508198323
SHAP,Theta*,200,move,0.3698,0.06773333333333334,0.6290000000000004,2.323,0.22083649373054504
